Dates,Category,Descript,PdDistrict,Resolution,Address,X,Y
2011-02-08 17:30:00,NON-CRIMINAL,LOST PROPERTY,NORTHERN,NONE,500 Block of LARKIN ST,-122.417367329727,37.7828626236813
2007-06-14 17:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,MISSION,NONE,400 Block of DOLORES ST,-122.426341418233,37.762579310920295
2013-11-12 18:00:00,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",RICHMOND,"ARREST, BOOKED",0 Block of PARKER AV,-122.454627027921,37.785139984222795
2007-07-14 09:30:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,MISSION,"ARREST, CITED",SHOTWELL ST / 17TH ST,-122.41623039254299,37.7636337702985
2003-09-16 14:30:00,OTHER OFFENSES,DISRUPTS SCHOOL ACTIVITIES,INGLESIDE,JUVENILE ADMONISHED,400 Block of RAYMOND AV,-122.412457953057,37.7147347356846
2014-02-06 18:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,4TH ST / HARRISON ST,-122.39961755878201,37.78079065500671
2012-02-26 02:30:00,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,BAYVIEW,NONE,0 Block of ROSIELEE LN,-122.38009324718399,37.7319402417303
2006-12-11 19:30:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),INGLESIDE,NONE,100 Block of PRECITA AV,-122.417164791978,37.747062207845104
2006-01-10 04:12:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,RICHMOND,NONE,4400 Block of FULTON ST,-122.47938499931999,37.7728444410496
2008-07-25 17:00:00,NON-CRIMINAL,FOUND PROPERTY,CENTRAL,NONE,800 Block of FRONT ST,-122.400039962995,37.7992056387497
2004-10-13 09:01:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / LEAVENWORTH ST,-122.41443315507,37.7846576329026
2006-10-31 10:59:00,OTHER OFFENSES,AGGRESSIVE SOLICITING,SOUTHERN,"ARREST, BOOKED",8TH ST / BRYANT ST,-122.406970988225,37.7725273607571
2005-12-27 21:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",NORTHERN,NONE,800 Block of OFARRELL ST,-122.418751252829,37.7851160049429
2003-02-05 08:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,INGLESIDE,NONE,500 Block of PORTOLA DR,-122.451163989719,37.7455640062989
2008-09-01 15:04:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",MISSION,NONE,18TH ST / NOE ST,-122.432795347224,37.761020169708296
2009-02-18 15:00:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",NORTHERN,NONE,1600 Block of PACIFIC AV,-122.422431723545,37.794974567141
2005-05-31 10:49:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",RICHMOND,"ARREST, CITED",2ND AV / BALBOA ST,-122.45972524525801,37.7774279740371
2013-02-05 00:01:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,CENTRAL,NONE,STOCKTON ST / JACKSON ST,-122.408254664048,37.7958223141329
2013-04-29 16:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,3700 Block of 24TH ST,-122.426912958134,37.7517914241541
2009-06-25 07:55:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",BAYVIEW,NONE,1400 Block of YOSEMITE AV,-122.388923737371,37.72522533042871
2007-06-13 14:46:00,OTHER OFFENSES,TRAFFIC VIOLATION,PARK,JUVENILE CITED,HAIGHT ST / BAKER ST,-122.440359655894,37.770848020363296
2003-07-11 15:20:00,WARRANTS,WARRANT ARREST,TARAVAL,"ARREST, BOOKED",JUNIPERO SERRA BL / 19TH AV,-122.47257041823099,37.7171734075953
2005-05-18 09:50:00,WEAPON LAWS,POSS OF LOADED FIREARM,MISSION,"ARREST, BOOKED",2200 Block of MISSION ST,-122.419212198636,37.7610244167023
2010-01-29 00:45:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,NORTHERN,"ARREST, CITED",SACRAMENTO ST / POLK ST,-122.420874632415,37.79149430519061
2013-11-01 19:43:00,OTHER OFFENSES,RESISTING ARREST,SOUTHERN,"ARREST, CITED",0 Block of 5TH ST,-122.407051190493,37.7832636870331
2014-10-29 16:15:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.786734218498296
2006-11-04 12:46:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,SOUTHERN,"ARREST, BOOKED",300 Block of CLEMENTINA ST,-122.40232147638001,37.78203871461721
2008-02-09 21:00:00,VEHICLE THEFT,STOLEN TRUCK,NORTHERN,"ARREST, BOOKED",OLIVE ST / LARKIN ST,-122.4178091031,37.7847098968616
2004-03-06 11:00:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.408421116922,37.7835699386918
2008-08-07 15:00:00,VEHICLE THEFT,STOLEN TRUCK,TARAVAL,NONE,2700 Block of JUDAH ST,-122.49147433356801,37.7611175925169
2008-10-02 23:53:00,OTHER OFFENSES,TRAFFIC VIOLATION,SOUTHERN,JUVENILE CITED,1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2010-12-17 14:05:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TARAVAL,"ARREST, CITED",LOUISBURG ST / NIAGARA AV,-122.450103999378,37.7204812445224
2013-10-28 18:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,BRYANT ST / BEALE ST,-122.38963953154301,37.7862250418081
2012-12-28 07:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",INGLESIDE,PSYCHOPATHIC CASE,200 Block of OCEAN AV,-122.442899035434,37.7230459410899
2004-09-04 14:20:00,ASSAULT,THREATS AGAINST LIFE,TARAVAL,NONE,200 Block of LAKEVIEW AV,-122.452314111866,37.7171347926505
2008-07-23 04:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,TARAVAL,NONE,1200 Block of 8TH AV,-122.465378582035,37.7650057282953
2015-01-09 23:53:00,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413259498719,37.7829514828801
2003-11-01 00:01:00,ASSAULT,THREATS AGAINST LIFE,NORTHERN,NONE,3200 Block of BAKER ST,-122.446509476572,37.8009526568789
2003-03-31 07:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,BAYVIEW,"ARREST, BOOKED",1200 Block of HAWES ST,-122.381906795287,37.7283905623996
2009-10-18 22:15:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",TENDERLOIN,NONE,400 Block of HYDE ST,-122.416099193953,37.7849300262869
2004-12-11 13:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,TARAVAL,NONE,GREAT HWY / VICENTE ST,-122.506432437917,37.737959336680795
2007-12-29 19:44:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",PARK,NONE,1300 Block of 4TH AV,-122.460830150553,37.76343703896
2011-05-21 12:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,BAYVIEW,NONE,200 Block of MISSOURI ST,-122.396515540825,37.7632069715605
2008-09-21 01:16:00,ASSAULT,BATTERY,SOUTHERN,"ARREST, CITED",0 Block of MINNA ST,-122.39870816889099,37.788089672437
2010-12-04 18:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,NORTHERN,NONE,200 Block of FELL ST,-122.42197278325199,37.775998080669495
2013-06-13 09:00:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,BAYVIEW,NONE,1400 Block of WALLACE AV,-122.388361137516,37.725850118435
2007-07-29 23:49:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,NONE,6TH ST / FOLSOM ST,-122.405618998022,37.7785045190918
2015-01-19 16:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,HAWTHORNE ST / HARRISON ST,-122.396265814237,37.78344043211771
2004-05-16 03:30:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",CENTRAL,NONE,HYDE ST / PINE ST,-122.417209639437,37.790045901693894
2015-05-01 07:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,5TH ST / MISSION ST,-122.406481972743,37.782731788488704
2005-11-04 00:01:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,CENTRAL,"ARREST, BOOKED",1300 Block of PINE ST,-122.41805074432399,37.7899896643167
2011-09-09 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",TARAVAL,NONE,1700 Block of JUDAH ST,-122.48074893889799,37.76147995774971
2011-07-27 08:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,INGLESIDE,NONE,BLYTHDALE AV / HAHN ST,-122.416647689095,37.710473851974
2004-02-21 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",TARAVAL,NONE,0 Block of MADRONE AV,-122.467275371149,37.7425110776568
2014-09-03 13:00:00,OTHER OFFENSES,RESISTING ARREST,NORTHERN,"ARREST, BOOKED",VALLEJO ST / POLK ST,-122.421962957931,37.796898966685
2009-04-28 19:25:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,SOUTHERN,"ARREST, BOOKED",800 Block of 3RD ST,-122.39142506985701,37.7778727797586
2006-08-08 00:59:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,NORTHERN,"ARREST, BOOKED",800 Block of VANNESS AV,-122.420996914,37.783103266873496
2012-10-01 03:15:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,BAYVIEW,NONE,3RD ST / FITZGERALD AV,-122.39526548840401,37.7232222390124
2012-03-25 23:00:00,OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,INGLESIDE,"ARREST, BOOKED",100 Block of BLYTHDALE AV,-122.42055675144199,37.7108945814914
2005-09-08 16:25:00,OTHER OFFENSES,PAROLE VIOLATION,BAYVIEW,JUVENILE BOOKED,1200 Block of INGALLS ST,-122.38186730007799,37.7305667976884
2006-01-12 14:20:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,INGLESIDE,"ARREST, BOOKED",SICKLES AV / SEARS ST,-122.45388681070601,37.7096779295136
2005-10-05 23:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TENDERLOIN,"ARREST, CITED",100 Block of TURK ST,-122.411593095704,37.78305295107821
2011-06-13 00:01:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,INGLESIDE,NONE,30TH ST / MISSION ST,-122.42197091902901,37.74237522452549
2010-06-04 23:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",PARK,NONE,1800 Block of MCALLISTER ST,-122.442504437584,37.7772126280826
2009-09-03 11:05:00,ASSAULT,BATTERY,NORTHERN,NONE,500 Block of HAIGHT ST,-122.431268066985,37.771946506645705
2005-12-26 13:00:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,SOUTHERN,"ARREST, BOOKED",MARKET ST / 7TH ST,-122.41251534136299,37.7804777480279
2007-09-07 12:05:00,OTHER OFFENSES,RESISTING ARREST,SOUTHERN,"ARREST, CITED",800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2015-02-16 17:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,-122.41633027848101,37.781494649710105
2007-04-16 17:30:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407707096397,37.785103454566105
2007-12-24 18:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,NORTHERN,NONE,100 Block of CHURCH ST,-122.429021888579,37.769069491319
2015-05-02 16:01:00,NON-CRIMINAL,AIDED CASE,BAYVIEW,NONE,2300 Block of SAN BRUNO AV,-122.40582138691002,37.7326781230902
2004-11-11 23:00:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413631253258,37.7848053746211
2005-09-07 18:00:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",MISSION,NONE,300 Block of SOUTH VAN NESS AV,-122.417791285277,37.7675856525236
2009-10-03 15:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,NORTHERN,NONE,100 Block of GROVE ST,-122.419085788323,37.7784353333225
2010-03-22 15:00:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",MISSION,NONE,25TH ST / SHOTWELL ST,-122.415014685048,37.750836391743995
2008-10-28 20:11:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413631253258,37.7848053746211
2010-09-22 04:38:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",SOUTHERN,NONE,400 Block of BRANNAN ST,-122.395120927482,37.7795184892422
2006-02-26 18:58:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",RICHMOND,"ARREST, CITED",700 Block of 46TH AV,-122.506957118134,37.7743196697102
2008-12-09 19:00:00,BURGLARY,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY",NORTHERN,NONE,1700 Block of UNION ST,-122.428118208377,37.7980822262225
2004-05-14 21:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,MISSION,"ARREST, BOOKED",400 Block of HOFFMAN AV,-122.440466818752,37.7500903426918
2007-01-13 20:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,PARK,NONE,500 Block of ROOSEVELT WY,-122.44431935068,37.7629336545744
2003-01-20 12:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,BAYVIEW,NONE,3RD ST / PALOU AV,-122.390971734594,37.73401521810371
2013-10-20 15:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,BRYANT ST / 2ND ST,-122.393622739343,37.783079119147104
2012-12-15 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NORTHERN,NONE,700 Block of GOLDEN GATE AV,-122.42291369528999,37.7806600950548
2005-11-17 21:33:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",PARK,NONE,STANYAN ST / PAGE ST,-122.453728603041,37.7700970411755
2007-02-24 14:55:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,CENTRAL,"ARREST, BOOKED",400 Block of FRANCISCO ST,-122.412624442029,37.8048422885258
2012-04-19 18:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,BAYVIEW,NONE,400 Block of TEXAS ST,-122.395306421689,37.76071334736221
2004-09-04 13:10:00,OTHER OFFENSES,TRAFFIC VIOLATION,NORTHERN,"ARREST, CITED",ELLIS ST / FRANKLIN ST,-122.42265416299101,37.7836201224122
2004-02-06 12:00:00,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",NORTHERN,PROSECUTED BY OUTSIDE AGENCY,1600 Block of POST ST,-122.428969462908,37.7856179045546
2014-12-08 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,MISSION,NONE,26TH ST / GUERRERO ST,-122.42257233421302,37.7487740050495
2010-03-25 10:35:00,ROBBERY,ROBBERY OF A BANK WITH A DANGEROUS WEAPON,CENTRAL,UNFOUNDED,500 Block of MONTGOMERY ST,-122.403026088419,37.7944564013948
2011-08-09 13:16:00,OTHER OFFENSES,TRAFFIC VIOLATION,MISSION,"ARREST, CITED",MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
2004-06-10 10:20:00,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,BAYVIEW,NONE,1200 Block of SILVER AV,-122.411836440259,37.730379007001204
2006-07-25 22:27:00,FORGERY/COUNTERFEITING,"FORGERY, NOTES",SOUTHERN,NONE,1100 Block of MARKET ST,-122.413564091744,37.779514030063
2008-02-08 21:33:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,PARK,"ARREST, CITED",HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521
2007-05-02 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",PARK,NONE,ANZA ST / MASONIC AV,-122.447517523122,37.78106943354421
2011-05-05 14:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",PARK,"ARREST, CITED",2000 Block of MCALLISTER ST,-122.445840487631,37.776901812095
2008-10-29 01:19:00,ROBBERY,"ROBBERY, BODILY FORCE",MISSION,"ARREST, BOOKED",3000 Block of 16TH ST,-122.421082850193,37.764910844225994
2005-06-17 11:00:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2004-09-16 15:00:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,TARAVAL,"ARREST, BOOKED",1200 Block of IRVING ST,-122.47114555295,37.7638796121694
2015-01-23 01:00:00,NON-CRIMINAL,LOST PROPERTY,NORTHERN,NONE,200 Block of OAK ST,-122.423371067788,37.774866634941
2005-04-24 11:45:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,INGLESIDE,NONE,100 Block of LELAND AV,-122.406110809152,37.71205879706189
2005-09-20 20:30:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",MISSION,NONE,2100 Block of FOLSOM ST,-122.415144329833,37.7628783835763
2006-06-29 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-12-28 13:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,SOUTHERN,NONE,0 Block of MARKET ST,-122.39509777418101,37.79405904855621
2007-09-08 14:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,HARRISON ST / 5TH ST,-122.401846367522,37.7790324136251
2003-07-07 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,800 Block of 3RD ST,-122.39142506985701,37.7778727797586
2011-12-30 23:59:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",CENTRAL,NONE,POST ST / MASON ST,-122.41005985589099,37.788082534017796
2004-04-14 22:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,HOWARD ST / 6TH ST,-122.407163046962,37.7797376338762
2003-04-14 19:00:00,FRAUD,FRAUDULENT CREDIT APPLICATION,SOUTHERN,NOT PROSECUTED,200 Block of HARRISON ST,-122.390709004862,37.7877493946489
2014-04-30 18:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,-122.38791460113998,37.7833631726076
2007-11-29 10:30:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,RICHMOND,NONE,GEARY BL / 14TH AV,-122.472843756623,37.780629116828706
2004-06-10 01:14:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TENDERLOIN,"ARREST, CITED",LEAVENWORTH ST / GEARY ST,-122.414809966364,37.7865194111385
2005-05-16 16:40:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,PARK,NONE,CLARENDON AV / LAGUNAHONDA BL,-122.461525408127,37.7515025704014
2009-12-11 14:35:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",NORTHERN,NONE,2200 Block of SACRAMENTO ST,-122.429919457431,37.7902995486283
2007-03-07 13:00:00,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",PARK,NONE,700 Block of SHRADER ST,-122.451648096753,37.767964039509295
2006-02-26 09:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,CENTRAL,NONE,BATTERY ST / SACRAMENTO ST,-122.400152784011,37.7941347017286
2015-02-04 20:00:00,NON-CRIMINAL,FOUND PROPERTY,TENDERLOIN,NONE,300 Block of EDDY ST,-122.412930522059,37.7838344374141
2011-11-28 12:20:00,NON-CRIMINAL,AIDED CASE,CENTRAL,NONE,1700 Block of STOCKTON ST,-122.40953537275298,37.8018366331947
2013-11-11 22:45:00,OTHER OFFENSES,RESISTING ARREST,TENDERLOIN,"ARREST, CITED",100 Block of MCALLISTER ST,-122.41452262258,37.7808752665663
2010-07-18 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TENDERLOIN,NONE,500 Block of LEAVENWORTH ST,-122.414782081215,37.7860514387143
2009-04-13 09:15:00,OTHER OFFENSES,TRAFFIC VIOLATION,RICHMOND,"ARREST, CITED",LINCOLN WY / 19TH AV,-122.47730912060301,37.765446071582495
2014-10-13 14:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",TARAVAL,NONE,1500 Block of 12TH AV,-122.469264894685,37.75921630371021
2007-09-07 00:01:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",MISSION,NONE,400 Block of HILL ST,-122.43116194167601,37.755433320484
2006-10-06 22:00:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",CENTRAL,NONE,400 Block of BEACH ST,-122.41644364341002,37.80711797306649
2003-08-06 13:00:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063
2007-05-18 14:30:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,POWELL ST / MARKET ST,-122.40754585593099,37.784401179486
2009-10-02 21:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,SPEAR ST / HARRISON ST,-122.389432577161,37.7888379056123
2009-10-29 16:10:00,DISORDERLY CONDUCT,DISTURBING THE PEACE,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
